Article Title,Article Description,Article Author,Article Link,Article Image
MBA: HOME BUYER AFFORDABILITY WORSENS IN MARCH,"Elevated mortgage rates, low inventory, and high prices constrained home buyer affordability in March. As a result, many prospective buyers elected to delay decisions to enter the housing market, according to the Mortgage Bankers Association (MBA).",Vincent Salandro,https://www.builderonline.com/data-analysis/mba-home-buyer-affordability-worsens-in-march_o,https://cdnassets.hw.net/dims4/GG/1f8e0c4/2147483647/resize/300x%3E/quality/90/?url=https%3A%2F%2Fcdnassets.hw.net%2Fee%2F37%2F28ab94964044a2166ece08a443a6%2Faffordability-2022.png
10 THINGS YOU PROBABLY AREN'T THINKING ABOUT (BUT SHOULD),"There are plenty of obvious things to think about when it comes to the housing market without going looking for more. But more information is better than less, and Zonda principal Todd Tomalak walked an audience of more than 400 people through his list of “10 Things To Think About” at the Builder 100 event in Dana Point, California.",Steve Ladurantaye,https://www.builderonline.com/data-analysis/10-things-you-probably-arent-thinking-about-but-should_o,https://cdnassets.hw.net/dims4/GG/83d8627/2147483647/resize/876x%3E/quality/90/?url=https%3A%2F%2Fcdnassets.hw.net%2F68%2Fba%2F0436ad86400f868b2ef85d1d82c6%2Fadobestock-99064574.jpg
"MARKET SNAPSHOT: HOUSTON STILL AFFORDABLE, FOR NOW","Houston still presents a strong affordability proposition due to abundant supply, with 268 projects offering homes under $300,000, and likely further downward pressure from a large number of units under construction and slower demand.",Zonda Data Intelligence,https://www.builderonline.com/data-analysis/market-snapshot-houston-still-affordable-for-now_o,https://cdnassets.hw.net/dims4/GG/101888b/2147483647/resize/876x%3E/quality/90/?url=https%3A%2F%2Fcdnassets.hw.net%2Fe1%2Fed%2F0c1687ee495abd20dbb965441376%2Fhouston-skyline-housing.jpg
DO YOU BELIEVE THE HOUSING MARKET IS UNDERSUPPLIED? REALLY?,Do you really believe the market is undersupplied? By how much? What exactly happens when an undersupplied housing market collides with rapidly deteriorating financial conditions? How does that play out?,Todd Tomalak,https://www.builderonline.com/data-analysis/do-you-believe-the-housing-market-is-undersupplied-really_o,https://cdnassets.hw.net/dims4/GG/7a16635/2147483647/resize/876x%3E/quality/90/?url=https%3A%2F%2Fcdnassets.hw.net%2F6b%2F88%2Fbde2ed6d4806bc082569d9493dc3%2Fadobestock-444318049.jpg
WHERE ARE THE BEST (AND WORST) METROS FOR SHORT AND ECO-FRIENDLY COMMUTES?,,Leah Draffen,https://www.builderonline.com/data-analysis/where-are-the-best-and-worst-metros-for-short-and-eco-friendly-commutes_o,https://cdnassets.hw.net/dims4/GG/aa796ac/2147483647/resize/876x%3E/quality/90/?url=https%3A%2F%2Fcdnassets.hw.net%2F06%2F65%2F035f013e4c07b337625927a55b7d%2Fcommuter-cars-rush-hour-los-angeles-adobestock-582162058.jpg
ALI WOLF: BABY BOOMERS REMAIN VITAL TO THE HOUSING MARKET,,Ali Wolf,https://www.builderonline.com/data-analysis/ali-wolf-baby-boomers-remain-vital-to-the-housing-market_o,https://cdnassets.hw.net/dims4/GG/1d1dbeb/2147483647/resize/876x%3E/quality/90/?url=https%3A%2F%2Fcdnassets.hw.net%2F39%2F96%2Fd0b305cd4af491b5eaee43275c56%2Fadobestock-483003758.jpeg
PENDING HOME SALES DROP 5.2% IN MARCH,"For the first time since November 2022, pending home sales decreased in March, according to the National Association of Realtors (NAR). The South posted a monthly gain, while all four U.S. regions saw year-over-year transactions decrease.",Leah Draffen,https://www.builderonline.com/data-analysis/pending-home-sales-drop-5-2-in-march_o,https://cdnassets.hw.net/dims4/GG/42dde84/2147483647/resize/300x%3E/quality/90/?url=https%3A%2F%2Fcdnassets.hw.net%2Fe8%2Faf%2Ffb7017bc451b8e696d4fc64edd5c%2Fpending-home-sale-adobestock-506771368.jpg
HOME PRICES INCREASE IN FEBRUARY,"Home prices inched up on a national level in February, according to the latest S&P CoreLogic Case-Shiller U.S. National Home Price NSA Index. However, eight of the 20 major metro markets analyzed reported lower prices on a year-over-year basis in February.",Vincent Salandro,https://www.builderonline.com/data-analysis/home-prices-increase-in-february_o,https://cdnassets.hw.net/dims4/GG/5604b06/2147483647/resize/300x%3E/quality/90/?url=https%3A%2F%2Fcdnassets.hw.net%2F87%2F93%2F04ba50e74f12ba859e1f95072406%2Fadobestock-72390314.jpeg
MARCH NEW-HOME SALES JUMP UP ALMOST 10%,"Sales of new single‐family houses spiked in March, according to estimates released by the U.S. Census Bureau and the Department of Housing and Urban Development.",Symone Strong,https://www.builderonline.com/data-analysis/march-new-home-sales-jump-up-almost-10_o,https://cdnassets.hw.net/dims4/GG/b4a55b3/2147483647/resize/300x%3E/quality/90/?url=https%3A%2F%2Fcdnassets.hw.net%2F49%2Ff7%2F6f108f0f417eacea1806706507f4%2Fadobestock-314423547.jpeg
MARKET SNAPSHOT: CAN CULTURE REVIVE AUSTIN'S HOUSING MARKET?,"Zonda named Austin, Texas, one of the 10 most interesting markets to watch in 2023 due to strong fundamentals, but lingering questions remain about how successful the year will be.",Zonda Data Intelligence,https://www.builderonline.com/data-analysis/market-snapshot-can-culture-revive-austins-housing-market_o,https://cdnassets.hw.net/dims4/GG/3fdcffb/2147483647/resize/876x%3E/quality/90/?url=https%3A%2F%2Fcdnassets.hw.net%2F91%2F2d%2Fd4cd610b4af69378e133aede5704%2Fadobestock-239234152.jpg
